res1           Y1_gamma1      LogPost        
   0.100067E+03   0.269988E+00  -0.592681E+02
   0.997740E+02   0.629319E+00  -0.595545E+02
   0.996614E+02   0.167353E+00  -0.585738E+02
   0.100002E+03   0.441289E+00  -0.592741E+02
   0.999244E+02   0.350471E-01  -0.583970E+02
   0.998454E+02   0.568336E-01  -0.582425E+02
   0.996643E+02   0.296224E+00  -0.587289E+02
   0.998493E+02   0.414336E+00  -0.587841E+02
   0.998949E+02   0.364815E+00  -0.587261E+02
   0.997529E+02   0.416781E+00  -0.587974E+02
   0.995769E+02   0.290304E+00  -0.591131E+02
   0.998398E+02   0.618388E-01  -0.582392E+02
   0.994343E+02   0.336723E+00  -0.601944E+02
   0.100139E+03   0.239294E+00  -0.597664E+02
   0.993625E+02   0.154129E+00  -0.608458E+02
   0.100031E+03   0.378280E-02  -0.588728E+02
   0.998719E+02   0.256276E+00  -0.584677E+02
   0.997421E+02   0.903734E-01  -0.582962E+02
   0.998078E+02   0.275714E+00  -0.584481E+02
   0.999063E+02   0.283175E+00  -0.585828E+02
   0.100074E+03   0.521179E+00  -0.598714E+02
   0.997094E+02   0.153363E+00  -0.584103E+02
   0.100152E+03   0.584905E-02  -0.597834E+02
   0.997113E+02   0.707477E+00  -0.599919E+02
   0.996476E+02   0.283230E+00  -0.587685E+02
   0.999905E+02   0.441392E+00  -0.592239E+02
   0.999397E+02   0.368085E+00  -0.588501E+02
   0.999969E+02   0.897636E-01  -0.587068E+02
   0.998831E+02   0.279449E+00  -0.585263E+02
   0.992769E+02   0.497997E+00  -0.619289E+02
   0.998526E+02   0.307594E-01  -0.582436E+02
   0.996680E+02   0.774004E-01  -0.584911E+02
   0.997768E+02   0.213490E+00  -0.583645E+02
   0.998655E+02   0.285001E+00  -0.585071E+02
   0.998543E+02   0.581548E+00  -0.593704E+02
   0.100103E+03   0.489066E+00  -0.599517E+02
   0.100124E+03   0.549688E+00  -0.602706E+02
   0.995828E+02   0.245114E+00  -0.590221E+02
   0.100063E+03   0.208816E-01  -0.590791E+02
   0.999026E+02   0.245004E+00  -0.585114E+02
   0.995701E+02   0.154005E-01  -0.589677E+02
   0.997038E+02   0.796342E+00  -0.604824E+02
   0.999036E+02   0.585820E-01  -0.583450E+02
   0.100064E+03   0.622090E+00  -0.601874E+02
   0.997543E+02   0.283594E+00  -0.584952E+02
   0.100033E+03   0.103381E+01  -0.623983E+02
