res1           res2           tau1           Y1_gamma1      LogPost        
   0.120180E+03   0.112526E+03   0.729242E+00   0.370783E+00  -0.226760E+02
   0.113808E+03   0.113174E+03   0.204771E+01   0.439014E-01  -0.237994E+02
   0.113808E+03   0.112795E+03   0.772169E+00   0.239284E+00  -0.223079E+02
   0.119121E+03   0.113051E+03   0.788881E+00   0.239284E+00  -0.228040E+02
   0.110532E+03   0.112580E+03   0.563553E+00   0.218194E+00  -0.242307E+02
   0.114189E+03   0.112580E+03   0.812848E+00   0.218194E+00  -0.220612E+02
   0.114754E+03   0.111666E+03   0.953911E+00   0.337583E+00  -0.258870E+02
   0.114648E+03   0.112766E+03   0.937783E+00   0.385683E+00  -0.223386E+02
   0.114860E+03   0.112766E+03   0.937783E+00   0.120806E+01  -0.243861E+02
   0.117420E+03   0.112663E+03   0.566883E+00   0.104047E+01  -0.233927E+02
   0.119735E+03   0.112999E+03   0.750781E+00   0.759702E+00  -0.235280E+02
   0.120892E+03   0.112900E+03   0.584268E+00   0.759702E+00  -0.238716E+02
   0.113743E+03   0.113217E+03   0.724509E+00   0.129943E+01  -0.254453E+02
   0.114578E+03   0.112060E+03   0.179423E+01   0.314810E+00  -0.234896E+02
   0.112907E+03   0.110632E+03   0.134805E+01   0.110922E+01  -0.283167E+02
   0.112226E+03   0.110894E+03   0.250930E+01   0.160699E+00  -0.238586E+02
   0.112920E+03   0.110613E+03   0.229389E+01   0.420421E+00  -0.221977E+02
   0.112920E+03   0.111786E+03   0.172487E+01   0.421363E-01  -0.223618E+02
   0.112920E+03   0.112519E+03   0.246591E+01   0.316687E+00  -0.221729E+02
   0.115043E+03   0.112856E+03   0.686472E+00   0.316687E+00  -0.220856E+02
   0.117523E+03   0.112495E+03   0.630759E+00   0.585819E+00  -0.222325E+02
   0.114736E+03   0.112546E+03   0.700968E+00   0.213755E+00  -0.219477E+02
   0.117747E+03   0.112581E+03   0.975623E+00   0.464312E+00  -0.254919E+02
   0.115012E+03   0.111910E+03   0.975623E+00   0.652314E+00  -0.242702E+02
   0.112569E+03   0.111897E+03   0.235678E+01   0.388618E+00  -0.221757E+02
   0.113411E+03   0.112152E+03   0.150677E+01   0.678923E+00  -0.220632E+02
   0.113010E+03   0.112245E+03   0.189576E+01   0.322765E+00  -0.216378E+02
   0.113010E+03   0.112986E+03   0.140345E+01   0.478985E+00  -0.232502E+02
   0.113209E+03   0.111868E+03   0.208918E+01   0.735194E-01  -0.202410E+02
   0.113109E+03   0.111776E+03   0.209224E+01   0.103475E+01  -0.229788E+02
   0.113133E+03   0.112585E+03   0.677389E+00   0.102181E+01  -0.240409E+02
   0.114953E+03   0.112341E+03   0.219493E+01   0.128664E+01  -0.283186E+02
   0.113258E+03   0.112241E+03   0.172922E+01   0.604113E+00  -0.219111E+02
   0.112901E+03   0.112592E+03   0.146357E+01   0.102629E+00  -0.221215E+02
   0.111867E+03   0.112592E+03   0.935424E+00   0.210074E-01  -0.235485E+02
   0.111064E+03   0.112592E+03   0.571438E+00   0.101056E+00  -0.237623E+02
   0.112729E+03   0.112619E+03   0.166419E+01   0.101056E+00  -0.224153E+02
   0.115541E+03   0.113158E+03   0.634689E+00   0.303391E-01  -0.228972E+02
   0.117432E+03   0.113024E+03   0.617367E+00   0.303391E-01  -0.222883E+02
   0.119682E+03   0.112814E+03   0.745702E+00   0.303391E-01  -0.223416E+02
   0.119958E+03   0.112781E+03   0.745702E+00   0.118724E+01  -0.245497E+02
   0.115460E+03   0.113075E+03   0.769094E+00   0.786798E-01  -0.225414E+02
   0.116850E+03   0.112716E+03   0.635227E+00   0.121036E+01  -0.239718E+02
   0.117710E+03   0.112567E+03   0.798480E+00   0.108673E+01  -0.235839E+02
   0.115403E+03   0.112374E+03   0.798480E+00   0.269334E+00  -0.221307E+02
   0.114041E+03   0.113020E+03   0.200482E+01   0.548849E+00  -0.236461E+02
   0.112893E+03   0.112208E+03   0.150788E+01   0.131422E+01  -0.246516E+02
   0.110353E+03   0.111884E+03   0.787278E+00   0.102974E+01  -0.270292E+02
   0.113659E+03   0.112721E+03   0.203032E+01   0.102974E+01  -0.237018E+02
   0.112826E+03   0.111416E+03   0.214196E+01   0.102974E+01  -0.238244E+02
   0.112826E+03   0.112437E+03   0.178427E+01   0.130178E+01  -0.247672E+02
   0.114389E+03   0.111515E+03   0.183786E+01   0.609373E+00  -0.241665E+02
   0.112341E+03   0.111773E+03   0.193865E+01   0.879839E+00  -0.244769E+02
   0.112341E+03   0.111240E+03   0.233874E+01   0.293760E+00  -0.228791E+02
   0.113094E+03   0.111650E+03   0.248880E+01   0.293760E+00  -0.228946E+02
   0.112530E+03   0.111309E+03   0.161207E+01   0.366015E+00  -0.251627E+02
   0.112742E+03   0.112379E+03   0.203893E+01   0.444828E+00  -0.223541E+02
   0.113137E+03   0.111979E+03   0.191587E+01   0.701864E+00  -0.223688E+02
   0.114005E+03   0.111910E+03   0.199915E+01   0.842105E-01  -0.220553E+02
   0.113035E+03   0.112622E+03   0.223396E+01   0.842105E-01  -0.218788E+02
   0.112714E+03   0.112674E+03   0.718047E+00   0.676718E+00  -0.233126E+02
   0.113042E+03   0.112138E+03   0.228029E+01   0.249795E+00  -0.215444E+02
   0.115470E+03   0.113038E+03   0.589256E+00   0.318234E+00  -0.224781E+02
   0.119495E+03   0.113118E+03   0.615777E+00   0.643635E+00  -0.235470E+02
   0.118933E+03   0.112723E+03   0.615777E+00   0.114982E+01  -0.240573E+02
   0.116200E+03   0.112617E+03   0.610252E+00   0.638433E+00  -0.222322E+02
   0.113706E+03   0.111858E+03   0.165390E+01   0.186478E+00  -0.217778E+02
   0.113939E+03   0.111573E+03   0.198860E+01   0.186478E+00  -0.230139E+02
