"res1"	"Y1_gamma1"	"LogPost"
99.7917	0.492231	-45.7301
100.084	0.0568451	-44.7197
99.8866	0.112733	-44.5178
99.9843	0.336445	-44.9348
100.012	0.600514	-46.0304
100.108	0.158932	-44.9035
99.9805	0.0855047	-44.4684
99.3396	0.722243	-49.7265
100.121	0.43669	-45.597
100.121	0.176198	-44.9872
99.6965	0.180221	-45.4046
99.9201	0.266315	-44.7384
99.6417	0.531409	-46.5924
100.002	0.0698371	-44.4886
100.112	0.352769	-45.3019
99.6185	0.0716965	-45.9592
100.207	0.0214025	-45.437
99.8916	0.00524407	-44.4533
100.296	0.18977	-46.2722
99.8904	0.0786696	-44.4828
100.011	0.00134947	-44.4841
99.8173	0.070663	-44.6657
99.9853	0.467639	-45.3932
99.9252	0.190064	-44.5814
99.9806	0.506109	-45.5514
100.303	0.45238	-46.7213
99.9682	0.221853	-44.6423
99.9682	0.376794	-45.0482
100.295	0.187475	-46.2622
100.365	0.124016	-47.0072
99.5651	0.124016	-46.5143
99.7547	1.08934	-49.4614
99.9567	1.21507	-50.2809
99.8242	0.439541	-45.4302
100.332	0.129015	-46.6296
100.07	0.0521656	-44.662
99.9358	0.222779	-44.6374
100.058	0.387058	-45.224
99.6276	0.40288	-46.2991
99.7752	0.24085	-45.0534
99.8771	0.740454	-46.8167
99.9612	0.653431	-46.2732
99.6215	0.606129	-47.0055
100.257	0.335524	-46.1053
100.315	0.31082	-46.5576
100.05	0.650924	-46.3553
100.036	0.776077	-47.0703
99.889	0.125669	-44.5279
100.461	0.635511	-48.6097
99.819	0.897698	-47.9292
100.426	0.00738217	-47.8187
100.556	0.247457	-49.611
99.7654	0.488434	-45.8084
99.8909	0.379332	-45.0859
100.717	1.05086	-52.5754
99.8966	0.556389	-45.7931
99.829	0.0542796	-44.6163
99.8184	0.579535	-46.0387
100.079	0.168835	-44.7955
100.079	0.174836	-44.8036
100.079	0.417017	-45.3827
99.8835	0.00672177	-44.4665
100.04	0.479667	-45.5203
99.7531	0.687115	-46.7796
100.009	0.181508	-44.6211
100.003	0.183005	-44.6138
100.003	0.490825	-45.508
99.8882	0.58243	-45.9283
99.8846	0.139722	-44.5515
99.8846	0.201098	-44.6439
99.828	0.140603	-44.6916
100.072	0.0717072	-44.6783
100.072	0.0717072	-44.6783
100.217	0.341644	-45.8335
99.6807	0.0266437	-45.4187
99.8452	0.0183593	-44.5552
99.9476	0.0183593	-44.4171
100.109	0.050994	-44.8267
100.109	0.0605308	-44.8305
100.012	0.539553	-45.7339
99.8418	0.363991	-45.1296
100.038	0.253508	-44.8155
100.038	0.239345	-44.7863
100.085	0.239345	-44.9339
99.9194	0.48097	-45.4387
100.044	0.374513	-45.1504
99.9426	0.123955	-44.4842
100.077	0.0244128	-44.6818
99.9747	0.1186	-44.4925
99.9827	0.1186	-44.5006
99.8324	0.267611	-44.8976
99.852	0.419984	-45.2921
100.278	0.0957508	-46.0651
99.9513	0.0852793	-44.4489
99.8557	0.005979	-44.5256
99.7047	0.110961	-45.2817
100.187	0.413544	-45.8369
99.6152	0.337181	-46.2548
100.197	0.148048	-45.4131
99.9265	0.27682	-44.76
99.759	0.343349	-45.3603
100.453	0.280864	-48.0794
99.6096	0.0651041	-46.0422
99.9009	0.212732	-44.6424
100.07	0.386082	-45.2543
99.9847	0.136396	-44.5227
100.041	0.208525	-44.7374
100.109	0.693476	-46.7302
99.9379	0.269599	-44.7388
100.101	0.200861	-44.9324
99.8779	0.336162	-44.9712
99.9842	0.197731	-44.6118
99.9863	0.135737	-44.5239
99.9684	0.0204448	-44.4268
100.03	0.0653511	-44.5438
99.9868	0.169242	-44.5692
100.014	0.50462	-45.5813
99.7854	0.203687	-44.9427
100.183	0.119041	-45.2986
99.9314	0.0989993	-44.4612
100.022	0.032062	-44.5113
99.7551	0.0562547	-44.9403
99.9848	0.209828	-44.634
99.7276	0.100236	-45.1254
99.7207	0.129715	-45.1924
100.352	0.0229951	-46.8666
99.7189	0.103383	-45.1828
100.054	0.00087343	-44.5962
99.7437	0.165375	-45.094
99.9664	0.254931	-44.7105
100.194	0.228136	-45.4809
99.8085	0.290751	-45.0282
99.93	0.148173	-44.5161
99.93	0.0928203	-44.4564
100.056	0.0521823	-44.6142
100.047	0.0165721	-44.5758
100.159	0.589798	-46.3695
99.8163	0.611426	-46.2008
99.991	0.128946	-44.522
99.9636	0.06222	-44.4389
100.076	0.214573	-44.856
99.6788	0.225892	-45.5873
99.9942	0.0394365	-44.4609
100.158	0.0718227	-45.1052
100.252	0.498116	-46.4932
99.7364	0.188555	-45.1655
99.7364	0.169015	-45.14
100.051	0.124066	-44.6477
99.7306	0.0207867	-45.0729
99.8241	0.305939	-45.0146
100.135	0.225552	-45.131
99.8248	0.31912	-45.0471
100.153	0.250803	-45.2654
99.9199	0.159094	-44.5364
99.3286	0.0892874	-49.8805
100.171	0.378259	-45.6454
99.9702	0.264956	-44.7357
99.8645	0.573328	-45.9155
99.7864	0.266923	-45.0578
100.005	0.87787	-47.7115
100.043	0.123144	-44.6237
99.8244	0.142795	-44.7062
99.7573	0.142795	-44.9943
99.8883	0.375272	-45.0761
99.8883	0.544014	-45.7437
99.8505	0.950491	-48.2586
99.8388	0.0245793	-44.5751
100.304	0.0245793	-46.3164
99.9462	0.00460757	-44.4155
99.5595	0.545934	-47.2146
99.3322	0.792674	-50.0168
99.8556	0.680055	-46.4902
100.042	0.209	-44.7405
99.9567	0.246539	-44.6877
99.8943	0.246539	-44.7191
100.015	0.33513	-44.9713
99.5409	0.483113	-47.1915
99.5409	0.469099	-47.1582
99.907	0.3459	-44.9624
100.196	0.397394	-45.8386
100.32	0.469872	-46.9026
99.8869	0.336531	-44.9583
99.6799	0.0871129	-45.4452
99.8723	0.648326	-46.2903
100.042	0.256639	-44.8317
99.887	0.271456	-44.7859
99.634	0.35445	-46.1419
99.7922	0.372152	-45.3064
99.9125	8.36802e-05	-44.4285
99.6877	0.630574	-46.7555
100.157	0.016216	-45.0889
100.076	0.312584	-45.0621
99.9714	0.14913	-44.5258
99.9008	0.265873	-44.7546
100.215	0.19175	-45.586
100.106	0.291709	-45.1234
99.8447	0.116925	-44.6148
100.006	0.408639	-45.1936
99.8362	0.534138	-45.7862
99.9682	0.427221	-45.2247
99.7944	0.363881	-45.2739
99.9414	0.030437	-44.4195
99.9414	0.475995	-45.4108
99.888	0.033978	-44.4641
100.173	0.204461	-45.3151
100.045	0.96278	-48.3633
99.7818	0.108779	-44.8401
99.7797	0.290764	-45.139
100.198	0.682216	-46.9943
99.8842	0.144834	-44.5587
99.6842	0.455926	-46.0802
99.6737	0.0549563	-45.4796
99.9048	0.113008	-44.4935
99.6664	0.550962	-46.5212
