"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
114.173	103.582	8.98826	0.76948	-68.0808
113.735	103.374	9.01326	0.586573	-66.6671
113.839	103.382	9.02468	0.383217	-66.3043
114.292	103.382	9.01124	0.258091	-68.43
113.385	103.765	9.00156	0.484849	-68.5341
113.69	103.343	9.03031	0.00119311	-66.2776
113.931	102.947	8.97711	0.498954	-67.5104
113.693	103.701	9.00663	0.305515	-67.0084
113.728	103.638	9.00496	0.35196	-66.7121
113.584	103.638	9.00558	0.169722	-67.2491
114.013	103.931	9.0051	0.929678	-68.7822
114.099	103.025	9.00895	0.522715	-67.7872
114.218	103.208	9.00895	0.157522	-67.9556
113.767	103.07	9.00382	0.347537	-66.8054
113.767	103.459	9.00382	0.117185	-66.2285
113.714	103.317	9.01925	0.620909	-66.7872
113.818	102.766	9.00547	0.226951	-68.5134
113.329	103.592	9.00302	0.789888	-68.6559
113.977	104.16	9.02161	0.789888	-69.3673
113.977	103.731	9.01432	0.559584	-67.3261
113.179	103.424	8.98913	0.0539851	-70.5538
113.527	102.865	8.98212	1.22696	-70.0495
113.727	103.595	8.98862	0.55641	-66.8037
113.895	103.847	9.00619	0.460177	-67.5432
113.895	103.179	8.99914	0.609723	-66.9319
113.781	103.857	8.99543	0.173945	-67.9142
114.001	103.566	8.96979	0.278323	-66.7902
113.781	103.499	8.98482	0.264162	-66.3039
113.485	103.37	9.00335	0.221071	-67.2286
113.885	103.729	9.00217	0.44673	-67.0441
113.516	102.635	9.01183	0.888693	-69.6993
113.036	102.694	9.01183	0.738968	-72.4007
113.749	103.26	9.01316	0.110976	-66.2176
113.963	103.505	8.97901	0.733946	-67.2226
113.95	103.762	8.97901	1.14262	-69.1135
113.764	103.153	8.96656	1.29719	-69.6737
114.127	103.404	9.00658	0.25175	-67.1545
114.137	103.995	8.9958	0.703194	-69.0115
113.991	103.24	8.9958	0.0275251	-66.5019
113.751	103.095	8.97114	0.902769	-67.865
113.88	103.107	9.01944	0.426245	-66.7923
113.894	103.38	9.02703	0.733344	-67.0645
113.805	103.631	8.9898	0.289999	-66.6297
113.56	103.48	9.02948	0.143345	-66.9261
113.622	103.48	8.98534	0.335964	-66.6224
113.659	103.354	9.02146	0.874268	-67.6043
113.896	103.181	9.02254	0.253701	-66.4612
113.876	103.073	9.02254	0.308199	-66.7963
113.876	103.065	9.02254	0.308199	-66.8258
114.199	103.107	9.02254	0.367165	-68.0557
113.656	103.278	9.02023	0.453665	-66.6238
113.868	103.3	9.00929	0.334164	-66.3058
113.868	102.675	9.02525	0.325158	-69.1513
113.375	104.232	9.02702	0.887383	-70.6845
114.012	103.929	8.97558	0.807711	-68.4624
114.067	102.967	8.99566	1.18068	-69.5468
113.513	104.058	9.04287	0.998846	-69.6353
113.905	103.451	9.04287	0.0140666	-66.2696
113.778	103.733	9.01359	0.378047	-66.9979
113.458	103.144	9.00119	0.630846	-67.7957
113.992	103.669	8.96402	0.280046	-67.0802
114.006	103.309	8.96402	0.557629	-66.9109
114.174	103.608	9.02972	0.557629	-67.814
113.631	103.601	8.96833	0.557629	-66.9917
113.859	103.472	8.96833	0.557629	-66.6295
113.452	103.838	8.96833	1.28986	-70.4439
113.901	102.967	8.99245	1.19436	-69.3811
114.261	103.449	9.01212	0.852474	-68.5777
113.649	103.609	9.02654	0.679438	-67.1966
113.649	103.294	8.97995	0.231828	-66.4532
113.651	102.952	8.99098	0.101668	-67.5624
113.651	102.952	9.00061	0.669563	-67.7249
112.928	103.093	9.01316	1.49665	-73.4667
114.016	103.625	9.01316	0.680177	-67.3758
113.49	103.668	8.99947	0.0571413	-68.0596
113.899	103.574	9.0406	0.971208	-68.0169
113.899	103.296	9.01043	1.03361	-68.2154
113.825	103.632	9.01359	0.0514795	-66.7319
113.854	103.298	9.01795	0.0440715	-66.13
113.441	103.23	8.9799	0.354389	-67.5839
113.934	103.473	9.01742	0.407581	-66.5131
114.126	103.602	9.02634	0.118087	-67.5983
113.472	102.818	8.97933	0.766965	-68.9043
113.868	103.302	9.03404	0.119111	-66.1571
113.818	103.302	9.04296	0.243627	-66.1918
113.818	103.461	9.04296	0.259206	-66.2377
113.818	103.475	9.03977	0.520432	-66.5401
113.818	103.165	9.03977	0.520432	-66.7319
113.901	103.191	8.96649	0.789706	-67.377
113.858	103.804	9.02925	0.654567	-67.492
113.997	103.342	9.01635	0.449537	-66.699
113.877	103.164	9.02561	0.370015	-66.5782
113.868	103.362	9.02561	0.0547534	-66.1311
113.908	103.545	9.0383	0.0448767	-66.4979
113.888	103.598	8.98637	0.121904	-66.6248
113.888	103.437	8.99766	0.677118	-66.9114
113.855	103.987	8.98521	1.01261	-69.0328
113.424	103.121	9.01922	0.157003	-68.0917
113.93	103.651	8.98017	0.541918	-66.9799
113.675	102.873	9.00482	0.3577	-67.8571
113.236	103.646	9.01929	0.796461	-69.3161
114.312	103.636	8.97949	0.539779	-68.7835
113.876	103.411	9.00157	0.485018	-66.4859
113.977	103.215	9.00157	0.536932	-66.8988
114.509	103.564	9.00792	0.919878	-70.3343
114.052	103.455	9.02103	0.342921	-66.8316
114.084	103.51	9.0143	0.378373	-67.0666
113.862	102.652	8.96914	0.494099	-69.0656
113.977	103.352	8.9901	0.0869096	-66.3789
113.977	103.374	8.99356	0.292566	-66.4697
113.833	102.961	9.04186	0.0640469	-67.222
113.152	103.772	8.98889	0.367889	-70.9523
114.06	103.383	8.99073	0.534043	-67.0346
113.712	103.161	8.96545	0.801913	-67.4497
114.127	103.259	8.96545	0.452317	-67.3258
113.537	103.506	8.99527	0.22458	-67.0527
113.88	103.628	8.99062	1.17036	-69.0002
114.153	103.518	8.98452	1.00205	-68.6357
113.38	103.197	8.98452	0.452104	-68.0358
114.144	103.407	9.03987	0.468501	-67.357
113.77	103.229	8.97361	0.18488	-66.2672
113.825	103.229	8.97361	0.0318015	-66.1999
113.802	103.454	8.96469	0.474878	-66.4469
113.932	103.157	8.98766	0.215412	-66.5685
113.585	103.267	9.0195	0.110887	-66.7267
113.647	103.375	9.028	0.550849	-66.7406
113.45	103.679	8.99155	0.550849	-67.8666
113.835	103.373	8.98641	0.278747	-66.1983
114.102	103.233	8.98639	0.116629	-67.0705
113.688	103.877	8.98639	0.600002	-67.76
113.649	103.226	8.97618	1.19998	-69.1669
114.549	103.068	9.0079	1.21132	-71.4296
113.95	103.28	9.0079	0.196622	-66.3714
114.058	103.573	9.0079	0.282594	-67.0462
113.82	103.435	8.99842	0.433207	-66.3766
113.168	103.789	9.00806	0.300335	-71.1505
113.81	103.494	9.02909	0.363026	-66.3506
113.991	103.399	8.99221	0.683771	-67.1059
113.815	103.399	9.01125	0.381828	-66.2958
113.845	103.212	8.96612	0.489086	-66.6056
114.097	103.029	8.96612	0.0183744	-67.6914
113.971	103.52	8.97635	0.00383543	-66.5884
114.345	103.23	9.02105	0.103618	-69.1732
113.769	103.084	9.036	0.311478	-66.7305
113.769	103.336	8.9841	0.181382	-66.1581
113.953	103.55	9.02196	0.45173	-66.7117
113.909	103.841	8.97654	0.853126	-68.1103
113.665	103.326	8.97273	0.221341	-66.3779
113.936	103.886	9.0169	0.814899	-68.1841
113.85	103.206	8.97895	0.0977341	-66.2674
113.777	102.868	9.00714	0.0977341	-67.8307
113.561	103.517	8.97103	0.291697	-66.921
113.561	103.493	8.97143	0.646814	-67.2097
114.263	103.933	8.97143	1.23661	-70.6408
113.695	103.486	8.97646	0.533971	-66.6593
113.765	103.497	8.99095	0.0901921	-66.3069
113.902	103.505	9.03874	0.153585	-66.3702
114.117	103.355	9.03021	0.519123	-67.2689
113.852	103.31	9.01737	0.0293269	-66.1207
113.876	103.279	9.04227	0.256679	-66.2645
114.487	102.646	9.04227	1.04817	-71.7404
114.42	103.074	9.0151	0.933857	-69.9434
113.929	103.074	9.0387	0.814025	-67.6864
114.309	103.338	9.0153	0.0727912	-68.6923
113.734	103.112	9.02482	0.945054	-68.0066
113.874	103.102	8.97039	0.126573	-66.5986
113.957	103.729	8.96831	0.0873461	-67.4116
113.713	103.334	9.02022	0.0873461	-66.2249
113.713	103.474	9.04198	0.425677	-66.4647
113.627	103.929	8.96239	1.20845	-69.8517
114.183	103.124	8.9917	0.909296	-68.5795
114.029	103.28	9.00536	0.606926	-67.097
113.917	103.079	8.98962	0.333354	-66.8588
114.349	103.013	9.03233	0.694558	-69.3808
113.572	102.678	8.97207	1.33412	-70.9521
113.835	103.966	9.01715	0.853327	-68.4623
114.127	103.202	9.02612	0.853327	-68.0972
113.824	102.523	8.99904	0.85615	-69.7611
114.193	103.407	8.98979	0.740171	-67.9802
113.565	103.502	9.01038	0.522344	-67.0011
113.661	103.371	9.02712	0.628437	-66.8684
113.834	103.371	9.02712	0.0736768	-66.1122
114.05	103.623	8.9778	0.215804	-67.1791
113.869	104.078	9.03182	0.0350496	-70.2574
113.503	103.163	8.98078	0.158504	-67.3913
113.639	103.446	8.98078	0.935631	-67.8812
113.993	103.038	9.03654	0.473025	-67.2999
113.993	102.887	8.9976	0.473025	-67.9263
113.597	103.569	8.97582	0.473025	-66.932
113.597	103.189	9.02884	0.206803	-66.8142
113.469	102.642	8.96938	1.01082	-70.0669
113.469	103.866	9.04152	0.937019	-68.9748
113.469	103.818	9.04152	0.803741	-68.4947
114.133	103.949	9.01568	0.86032	-69.0109
114.132	103.03	8.97808	0.502624	-67.9229
113.965	103.374	9.00692	1.06484	-68.4146
113.224	103.463	9.03012	0.736396	-69.1192
113.55	103.705	8.97468	0.181764	-67.7017
113.487	103.582	9.02319	0.878439	-68.1647
113.741	103.195	8.9761	0.356259	-66.4889
113.741	103.638	9.02238	0.0304475	-66.8276
113.996	103.105	8.9911	0.458665	-67.0902
114.03	103.257	9.0051	0.19281	-66.6832
114.106	102.715	9.00637	0.485717	-69.3501
113.289	103.1	9.00755	0.586625	-68.8881
114.104	103.284	8.99407	0.447407	-67.1721
114.05	103.358	9.02599	0.278971	-66.7453
113.582	103.115	8.98059	0.278971	-67.0859
113.582	103.311	8.98369	0.467649	-66.833
113.105	103.087	9.04321	1.31933	-71.7057
113.306	103.28	9.03158	0.921555	-69.0008
113.834	103.253	8.99415	0.245089	-66.2527
113.888	103.603	8.99879	0.299999	-66.6007
113.888	103.086	9.01219	0.299999	-66.7589
113.805	103.525	9.00374	0.782074	-67.2246
113.846	103.139	9.00777	0.869468	-67.6673
114.148	103.187	9.00777	0.212148	-67.4735
113.729	103.165	9.0114	0.344561	-66.5602
113.525	103.59	9.0157	0.041004	-67.4919
114.066	104.153	8.98651	1.01906	-69.9589
113.626	103.321	8.97106	0.83446	-67.5331
113.66	103.03	9.03671	1.53203	-71.3447
113.74	103.845	8.98886	0.633318	-67.6075
113.982	103.529	8.98518	0.0773561	-66.6462
113.855	103.392	9.01214	0.105797	-66.1407
114.062	103.633	9.04215	0.462074	-67.2597
113.56	103.723	8.98641	0.773968	-67.8706
113.49	102.974	9.0116	0.250134	-68.1645
113.49	103.563	8.99711	0.187759	-67.5054
113.71	103.44	9.02063	0.652407	-66.8561
113.712	103.364	8.98629	0.266441	-66.2779
113.574	103.427	9.03138	0.0179773	-66.8001
113.807	103.427	9.03138	0.242818	-66.194
113.625	103.427	9.00016	0.278291	-66.5425
114.025	103.427	8.96825	0.208778	-66.6309
113.758	103.6	8.96825	0.207402	-66.5733
113.646	103.605	8.9699	1.16463	-69.0431
113.58	102.933	9.01655	1.16463	-69.4942
114.072	103.102	8.97431	0.721081	-67.7374
113.324	103.527	8.97218	0.299319	-68.5797
113.682	103.546	8.98255	0.767732	-67.2889
113.605	103.049	9.03521	0.194541	-67.2344
113.605	102.934	9.03521	0.601906	-67.8124
113.605	103.172	9.03521	1.00772	-68.3559
113.41	103.272	9.03232	0.604061	-67.8153
113.474	103.272	9.03232	0.0148228	-67.42
113.397	103.168	9.00771	0.115972	-68.2184
113.9	103.079	9.00771	0.131027	-66.7265
113.738	103.507	8.99952	0.219427	-66.3546
113.818	103.346	8.98547	0.219427	-66.1548
113.301	103.136	8.97938	0.355448	-68.8873
114.265	104.022	9.0155	1.24191	-70.8997
113.734	103.156	8.99414	0.409023	-66.6376
114.022	103.156	8.98084	0.514251	-67.1129
113.756	103.434	9.02828	0.255767	-66.2366
114.174	103.172	9.02862	0.251267	-67.6946
